scenario_id,scenario_key,reference_id,family,level_idx,level_factor,lead_steps,delay_steps,precision,recall,f1_point,pred_positive_rate,mean_detection_offset,mean_detection_offset_empirical
r2_single_long__early_warning_l05,early_warning_l05,r2_single_long,early_warning,5,1.25000000,22,0,0.64285714,1.00000000,0.78260870,0.70000000,-36.00000000,-36.00000000
r2_single_long__late_detection_l01,late_detection_l01,r2_single_long,late_detection,1,0.90000000,0,2,1.00000000,0.90123457,0.94805195,0.40555556,16.00000000,16.00000000
r2_single_long__late_detection_l02,late_detection_l02,r2_single_long,late_detection,2,0.75000000,0,4,1.00000000,0.75308642,0.85915493,0.33888889,40.00000000,40.00000000
r2_single_long__late_detection_l03,late_detection_l03,r2_single_long,late_detection,3,0.50000000,0,9,1.00000000,0.50000000,0.66666667,0.22500000,81.00000000,81.00000000
r2_single_long__late_detection_l04,late_detection_l04,r2_single_long,late_detection,4,0.25000000,0,14,1.00000000,0.24691358,0.39603960,0.11111111,122.00000000,122.00000000
r2_single_long__late_detection_l05,late_detection_l05,r2_single_long,late_detection,5,0.10000000,0,16,1.00000000,0.09876543,0.17977528,0.04444444,146.00000000,146.00000000
r3_multi_short__on_time,on_time,r3_multi_short,on_time,0,0.00000000,0,0,1.00000000,1.00000000,1.00000000,0.20000000,0.00000000,0.00000000
r3_multi_short__early_warning_l01,early_warning_l01,r3_multi_short,early_warning,1,0.25000000,4,0,0.78260870,1.00000000,0.87804878,0.25555556,-4.00000000,-4.00000000
r3_multi_short__early_warning_l02,early_warning_l02,r3_multi_short,early_warning,2,0.50000000,9,0,0.66055046,1.00000000,0.79558011,0.30277778,-7.40000000,-7.40000000
r3_multi_short__early_warning_l03,early_warning_l03,r3_multi_short,early_warning,3,0.75000000,14,0,0.58064516,1.00000000,0.73469388,0.34444444,-10.40000000,-10.40000000
r3_multi_short__early_warning_l04,early_warning_l04,r3_multi_short,early_warning,4,1.00000000,18,0,0.50000000,1.00000000,0.66666667,0.40000000,-14.40000000,-14.40000000
r3_multi_short__early_warning_l05,early_warning_l05,r3_multi_short,early_warning,5,1.25000000,22,0,0.43902439,1.00000000,0.61016949,0.45555556,-18.40000000,-18.40000000
r3_multi_short__late_detection_l01,late_detection_l01,r3_multi_short,late_detection,1,0.90000000,0,2,1.00000000,0.93055556,0.96402878,0.18611111,1.00000000,1.00000000
r3_multi_short__late_detection_l02,late_detection_l02,r3_multi_short,late_detection,2,0.75000000,0,4,1.00000000,0.72222222,0.83870968,0.14444444,4.00000000,4.00000000
r3_multi_short__late_detection_l03,late_detection_l03,r3_multi_short,late_detection,3,0.50000000,0,9,1.00000000,0.51388889,0.67889908,0.10277778,7.00000000,7.00000000
r3_multi_short__late_detection_l04,late_detection_l04,r3_multi_short,late_detection,4,0.25000000,0,14,1.00000000,0.27777778,0.43478261,0.05555556,10.40000000,10.40000000
r3_multi_short__late_detection_l05,late_detection_l05,r3_multi_short,late_detection,5,0.10000000,0,16,1.00000000,0.09722222,0.17721519,0.01944444,13.00000000,13.00000000
r4_two_close__on_time,on_time,r4_two_close,on_time,0,0.00000000,0,0,1.00000000,1.00000000,1.00000000,0.13888889,-18.00000000,-18.00000000
r4_two_close__early_warning_l01,early_warning_l01,r4_two_close,early_warning,1,0.25000000,4,0,0.80645161,1.00000000,0.89285714,0.17222222,-21.00000000,-21.00000000
r4_two_close__early_warning_l02,early_warning_l02,r4_two_close,early_warning,2,0.50000000,9,0,0.68493151,1.00000000,0.81300813,0.20277778,-24.00000000,-24.00000000
r4_two_close__early_warning_l03,early_warning_l03,r4_two_close,early_warning,3,0.75000000,14,0,0.62500000,1.00000000,0.76923077,0.22222222,-27.50000000,-27.50000000
r4_two_close__early_warning_l04,early_warning_l04,r4_two_close,early_warning,4,1.00000000,18,0,0.58139535,1.00000000,0.73529412,0.23888889,-30.50000000,-30.50000000
r4_two_close__early_warning_l05,early_warning_l05,r4_two_close,early_warning,5,1.25000000,22,0,0.54347826,1.00000000,0.70422535,0.25555556,-33.50000000,-33.50000000
r4_two_close__late_detection_l01,late_detection_l01,r4_two_close,late_detection,1,0.90000000,0,2,1.00000000,0.88000000,0.93617021,0.12222222,-15.00000000,-15.00000000
r4_two_close__late_detection_l02,late_detection_l02,r4_two_close,late_detection,2,0.75000000,0,4,1.00000000,0.76000000,0.86363636,0.10555556,-12.00000000,-12.00000000
r4_two_close__late_detection_l03,late_detection_l03,r4_two_close,late_detection,3,0.50000000,0,9,1.00000000,0.48000000,0.64864865,0.06666667,-5.00000000,-5.00000000
r4_two_close__late_detection_l04,late_detection_l04,r4_two_close,late_detection,4,0.25000000,0,14,1.00000000,0.24000000,0.38709677,0.03333333,1.00000000,1.00000000
r4_two_close__late_detection_l05,late_detection_l05,r4_two_close,late_detection,5,0.10000000,0,16,1.00000000,0.08000000,0.14814815,0.01111111,5.00000000,5.00000000
r5_single_short__on_time,on_time,r5_single_short,on_time,0,0.00000000,0,0,1.00000000,1.00000000,1.00000000,0.03888889,0.00000000,0.00000000
r5_single_short__early_warning_l01,early_warning_l01,r5_single_short,early_warning,1,0.25000000,4,0,0.77777778,1.00000000,0.87500000,0.05000000,-4.00000000,-4.00000000
r5_single_short__early_warning_l02,early_warning_l02,r5_single_short,early_warning,2,0.50000000,9,0,0.66666667,1.00000000,0.80000000,0.05833333,-7.00000000,-7.00000000
r5_single_short__early_warning_l03,early_warning_l03,r5_single_short,early_warning,3,0.75000000,14,0,0.58333333,1.00000000,0.73684211,0.06666667,-10.00000000,-10.00000000
r5_single_short__early_warning_l04,early_warning_l04,r5_single_short,early_warning,4,1.00000000,18,0,0.50000000,1.00000000,0.66666667,0.07777778,-14.00000000,-14.00000000
r5_single_short__early_warning_l05,early_warning_l05,r5_single_short,early_warning,5,1.25000000,22,0,0.43750000,1.00000000,0.60869565,0.08888889,-18.00000000,-18.00000000
r5_single_short__late_detection_l01,late_detection_l01,r5_single_short,late_detection,1,0.90000000,0,2,1.00000000,0.92857143,0.96296296,0.03611111,1.00000000,1.00000000
r5_single_short__late_detection_l02,late_detection_l02,r5_single_short,late_detection,2,0.75000000,0,4,1.00000000,0.71428571,0.83333333,0.02777778,4.00000000,4.00000000
r5_single_short__late_detection_l03,late_detection_l03,r5_single_short,late_detection,3,0.50000000,0,9,1.00000000,0.50000000,0.66666667,0.01944444,7.00000000,7.00000000
r5_single_short__late_detection_l04,late_detection_l04,r5_single_short,late_detection,4,0.25000000,0,14,1.00000000,0.28571429,0.44444444,0.01111111,10.00000000,10.00000000
r5_single_short__late_detection_l05,late_detection_l05,r5_single_short,late_detection,5,0.10000000,0,16,1.00000000,0.07142857,0.13333333,0.00277778,13.00000000,13.00000000
r6_high_density__on_time,on_time,r6_high_density,on_time,0,0.00000000,0,0,1.00000000,1.00000000,1.00000000,0.58888889,-27.00000000,-27.00000000
r6_high_density__early_warning_l01,early_warning_l01,r6_high_density,early_warning,1,0.25000000,4,0,0.80303030,1.00000000,0.89075630,0.73333333,-30.50000000,-30.50000000
r6_high_density__early_warning_l02,early_warning_l02,r6_high_density,early_warning,2,0.50000000,9,0,0.68608414,1.00000000,0.81381958,0.85833333,-31.50000000,-31.50000000
r6_high_density__early_warning_l03,early_warning_l03,r6_high_density,early_warning,3,0.75000000,14,0,0.66876972,1.00000000,0.80151229,0.88055556,-31.50000000,-31.50000000
r6_high_density__early_warning_l04,early_warning_l04,r6_high_density,early_warning,4,1.00000000,18,0,0.66876972,1.00000000,0.80151229,0.88055556,-31.50000000,-31.50000000
r6_high_density__early_warning_l05,early_warning_l05,r6_high_density,early_warning,5,1.25000000,22,0,0.66876972,1.00000000,0.80151229,0.88055556,-31.50000000,-31.50000000
r6_high_density__late_detection_l01,late_detection_l01,r6_high_density,late_detection,1,0.90000000,0,2,1.00000000,0.90094340,0.94789082,0.53055556,-25.75000000,-25.75000000
r6_high_density__late_detection_l02,late_detection_l02,r6_high_density,late_detection,2,0.75000000,0,4,1.00000000,0.75471698,0.86021505,0.44444444,-23.50000000,-23.50000000
r6_high_density__late_detection_l03,late_detection_l03,r6_high_density,late_detection,3,0.50000000,0,9,1.00000000,0.50000000,0.66666667,0.29444444,-20.25000000,-20.25000000
r6_high_density__late_detection_l04,late_detection_l04,r6_high_density,late_detection,4,0.25000000,0,14,1.00000000,0.24528302,0.39393939,0.14444444,-17.00000000,-17.00000000
r6_high_density__late_detection_l05,late_detection_l05,r6_high_density,late_detection,5,0.10000000,0,16,1.00000000,0.09905660,0.18025751,0.05833333,-13.25000000,-13.25000000
